ID,AC,GN,protein_name,GO_F Count,GO_P Count,GO_C Count,go_counts,bin,pmc_GN,PMC_protein_name,new_protein_name,match_result,processing_time
RAPSN_HUMAN,Q13702,RAPSN,43 kDa receptor-associated protein of the synapse,5,9,6,20,bin_5,100,6,Receptor-associated protein S-nitrosylase,0,4.24
CSK22_HUMAN,P19784,CSNK2A2,Casein kinase II subunit alpha',3,11,6,20,bin_5,56,676,Casein kinase II subunit alpha-2,0,2.33
H2B1J_HUMAN,P06899,H2BC11,Histone H2B type 1-J,4,10,6,20,bin_5,2,0,Nucleosome-remodeling deacese complex protein 11 subunit B-1,0,7.16
CC50A_HUMAN,Q9NV96,TMEM30A,Cell cycle control protein 50A ,2,7,11,20,bin_5,78,5,Transmembrane protein 30A,0,3.13
PCLI1_HUMAN,Q7Z2X4,PID1,"PTB-containing, cubilin and LRP1-interacting protein",0,20,1,21,bin_5,86,0,Pseudouridylate synthase-like protein 1,0,3.39
UHMK1_HUMAN,Q8TAS1,UHMK1,Serine/threonine-protein kinase Kist,8,6,7,21,bin_5,65,174,Ube2D protein 1-binding protein UHMK1,0,1.71
GGT1_HUMAN,P19440,GGT1,Glutathione hydrolase 1 light chain,4,14,3,21,bin_5,195,128,Gamma-glutamyl peptidase 1,0,2.4
AT11B_HUMAN,Q9Y2G3,ATP11B,Phospholipid-transporting ATPase IF,7,4,10,21,bin_5,33,42,P4-ATPase ATP11B,0,2.18
DAA11_HUMAN,Q86X45,DNAAF11,Dynein axonemal assembly factor 11 ,0,14,7,21,bin_5,3,2,Dynein axonemal assembly factor 11,1,1.75
DAAF4_HUMAN,Q8WXU2,DNAAF4,Dynein axonemal assembly factor 4 ,1,11,9,21,bin_5,76,10,Dynein axonemal assembly factor 4,1,3.33
SEPT6_HUMAN,Q14141,SEPTIN6,Septin-6,3,6,12,21,bin_5,56,30,Septin-6,1,1.84
SYAC_HUMAN,P49588,AARS1,"Alanine--tRNA ligase, cytoplasmic ",7,9,5,21,bin_5,28,47,"Alanyl-tRNA synthetase 1, mitochondrial",0,0.9
AIMP1_HUMAN,Q12904,AIMP1,Endothelial monocyte-activating polypeptide 2,4,9,8,21,bin_5,106,73,Aminoacyl-tRNA synthetase complex-interacting multifunctional protein 1,0,2.14
FZR1_HUMAN,Q9UM11,FZR1,Fizzy-related protein homolog ,3,13,5,21,bin_5,216,12,"FZR1 protein, E3 ubiquitin ligase",0,1.34
FBLN4_HUMAN,O95967,EFEMP2,EGF-containing fibulin-like extracellular matrix protein 2 ,4,9,8,21,bin_5,162,33,Extracellular matrix protein 2,0,1.44
FBH1_HUMAN,Q96SW7,FBH1,F-box DNA helicase 1 ,8,10,3,21,bin_5,60,32,F-box only protein 7,0,0.98
IASPP_HUMAN,Q8WUF5,PPP1R13L,RelA-associated inhibitor,3,13,5,21,bin_5,190,10,Protein phosphatase 1 regulatory subunit 13-like,0,0.99
KDM8_HUMAN,Q8N371,KDM8,Bifunctional peptidase and arginyl-hydroxylase JMJD5 ,8,9,4,21,bin_5,59,0,Lysine-specific demethylase 5 subunit 1,0,1.41
NPL4_HUMAN,Q8TAT6,NPLOC4,Nuclear protein localization protein 4 homolog,7,7,7,21,bin_5,66,1115,"NPL4 homolog, UBX domain-containing protein 2",0,1.58
VVAGKKYFID,P01042,KNG1,Low molecular weight growth-promoting factor,5,8,8,21,bin_5,247,75,Plasminogen,0,0.57
KMT5A_HUMAN,Q9NQR1,KMT5A,N-lysine methyltransferase KMT5A ,7,9,5,21,bin_5,182,2,Lysine methyltransferase KMT5A,0,1.16
OXLA_HUMAN,Q96RQ9,IL4I1,L-amino-acid oxidase ,3,13,5,21,bin_5,151,1193,Lysine-specific demethylase 5B,0,2.09
IMA1_HUMAN,P52292,KPNA2,Importin subunit alpha-1 ,4,7,10,21,bin_5,350,16,Importin subunit 2 alpha,0,1.28
FUBP2_HUMAN,Q92945,KHSRP,Far upstream element-binding protein 2,5,12,5,22,bin_5,210,63,KH-type splicing regulatory protein,0,3.22
U17L2_HUMAN,Q6R6M4,USP17L2,Ubiquitin carboxyl-terminal hydrolase 17,1,18,3,22,bin_5,51,355,Ubiquitin thioesterase OTU domain-containing protein 17C,0,0.37
PTHR_HUMAN,P12272,PTHLH,Osteostatin,2,14,6,22,bin_5,1448,54,Osteostatin,1,2.15
NH2L1_HUMAN,P55769,SNU13,"NHP2-like protein 1, N-terminally processed",6,5,11,22,bin_5,60,396,NHP2-like protein 1,0,2.42
WASH3_HUMAN,C4AMC7,WASH3P,Putative WAS protein family homolog 3,3,9,10,22,bin_5,0,926,Protein FAM21 homolog B,0,0.6
CSTN1_HUMAN,O94985,CLSTN1,CTF1-alpha ,4,8,10,22,bin_5,64,2,"Cysteine-rich protein 1, osteoblast-specific",0,1.05
IGJ_HUMAN,P01591,JCHAIN,Immunoglobulin J chain,5,9,8,22,bin_5,239,38100,Prothymosin-alpha,0,0.97
MBOA5_HUMAN,Q6P1A2,LPCAT3,Lysophospholipid acyltransferase 5,6,14,2,22,bin_5,168,158,Lysophosphatidylcholine acyltransferase 3,0,2.31
DHB4_HUMAN,P51659,HSD17B4,Enoyl-CoA hydratase 2,9,8,5,22,bin_5,251,171,Hydroxysteroid 17-beta dehydrogenase 4,0,1.67
H2AW_HUMAN,Q9P0M6,MACROH2A2,Core histone macro-H2A.2,6,9,7,22,bin_5,39,9150,Macrodomain-containing protein 2 alpha chain 2,0,0.34
H15_HUMAN,P16401,H1-5,Histone H1.5,6,8,8,22,bin_5,144,78,Histone H1.5,1,0.98
SYEP_HUMAN,P07814,EPRS1,Proline--tRNA ligase ,8,7,7,22,bin_5,16,21,"Glutamyl-prolyl-tRNA synthetase chain 1, mitochondrial",0,3.27
CHM4P_HUMAN,P59074,CHMP4BP1,Putative charged multivesicular body protein 4B-like protein CHMP4BP1,0,12,10,22,bin_5,0,0,Charged multivesicular body protein 4B-associated protein 1,0,1.51
SFRP3_HUMAN,Q92765,FRZB,Secreted frizzled-related protein 3,1,18,3,22,bin_5,273,61,Frizzled-related protein,0,2.44
JIP4_HUMAN,Q8IZX7,SPAG9,C-Jun-amino-terminal kinase-interacting protein 4,5,10,7,22,bin_5,149,3,Sperasin,0,0.34
SCAP_HUMAN,Q12770,SCAP,Sterol regulatory element-binding protein cleavage-activating protein ,3,12,7,22,bin_5,1242,378,SREBF-binding protein 1,0,1.59
PTPA_HUMAN,Q9NNZ8,PTPA,Serine/threonine-protein phosphatase 2A activator,8,7,7,22,bin_5,251,374,Tyrosine-protein phosphatase non-receptor type 1,0,1.33
EFC4B_HUMAN,Q9BSW2,CRACR2A,EF-hand calcium-binding domain-containing protein 4B,3,8,11,22,bin_5,31,1,Calcium- and integrin-based regulator of the actin cytoskeleton 2A,0,1.85
SYLC_HUMAN,Q9P2J5,LARS1,"Leucine--tRNA ligase, cytoplasmic ",5,12,6,23,bin_5,27,112,Leucyl-tRNA synthetase 1,0,4.03
GRP_HUMAN,P07492,GRP,Neuromedin-C,2,16,5,23,bin_5,6146,169,Protein B-cell granule-associated protein 1,0,1.7
ISK5_HUMAN,Q96PP3,SPINK5,Hemofiltrate peptide HF7665,1,13,9,23,bin_5,375,0,"Serine peptidase inhibitor, Kazal type 5",0,3.33
IRG1_HUMAN,A6NK06,ACOD1,Cis-aconitate decarboxylase,2,20,1,23,bin_5,130,80,"Acyl-CoA dehydrogenase family member 1, mitochondrial",0,1.29
TGO1_HUMAN,Q5JRB1,MIA3,Transport and Golgi organization protein 1 homolog ,1,17,5,23,bin_5,52,24,MIA2 domain-containing protein 1,0,1.23
NSD1_HUMAN,Q96L73,NSD1,"Histone-lysine N-methyltransferase, H3 lysine-36 specific",14,6,3,23,bin_5,579,67,N-terminally myristoylated NSD1 protein,0,2.76
PMYT1_HUMAN,Q99640,PKMYT1,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,6,7,10,23,bin_5,134,1,Protein tyrosine kinase MYT1,0,1.22
SMS_HUMAN,P61278,SST,Neuronostatin ,1,17,5,23,bin_5,7855,36,Somatostatin,0,1.35
DEF1_HUMAN,P59665,DEFA1B,Neutrophil defensin 2,1,16,6,23,bin_5,15,797,Defensin alpha 1B,0,0.98
S26A7_HUMAN,Q8TE54,SLC26A7,Anion exchange transporter,6,10,7,23,bin_5,82,13779,Sulfate anion exchanger 7,0,1.76
NDST1_HUMAN,P52848,NDST1,Heparan sulfate N-sulfotransferase 1,4,16,3,23,bin_5,155,135,"N-acetylglucosaminyltransferase, N-acetylglucosaminyltransferase I",0,1.18
MRCKB_HUMAN,Q9Y5S2,CDC42BPB,Serine/threonine-protein kinase MRCK beta,7,7,9,23,bin_5,50,6,Centriolin,0,0.3
DCNP1_HUMAN,Q8TF63,DCANP1,Dendritic cell nuclear protein 1 ,1,19,3,23,bin_5,6,3546,Dynein axonemal assembly factor 4,0,1.67
AT11A_HUMAN,P98196,ATP11A,Phospholipid-transporting ATPase IH,7,4,12,23,bin_5,69,0,P4-ATPase ATP11A,0,0.35
CCN4_HUMAN,O95388,CCN4,CCN family member 4 ,2,18,3,23,bin_5,329,188,Hypoxia-inducible protein HIP-70,0,0.71
AMBP_HUMAN,P02760,AMBP,Trypstatin ,8,5,11,24,bin_5,285,19,Alpha-2B-glycoprotein chain A,0,1.93
ACHB_HUMAN,P11230,CHRNB1,Acetylcholine receptor subunit beta ,6,14,4,24,bin_5,66,2157,Neuronal acetylcholine receptor subunit beta-1,0,1.95
RL26_HUMAN,P61254,RPL26,Large ribosomal subunit protein uL24 ,3,12,9,24,bin_5,98,7,60S ribosomal protein L26,0,0.98
APLP1_HUMAN,P51693,APLP1,C30,6,13,5,24,bin_5,293,9150,Amyloid beta precursor protein-like protein 1,0,2.87
VEGFD_HUMAN,O43915,VEGFD,Vascular endothelial growth factor D ,6,14,4,24,bin_5,1226,790,Vascular endothelial growth factor D,1,2.37
TFPT_HUMAN,P0C1Z6,TFPT,TCF3 fusion partner,3,16,5,24,bin_5,60,26,Thymidine synthase-like protein 1,0,2.97
DRC4_HUMAN,O95995,GAS8,Dynein regulatory complex subunit 4 ,2,12,10,24,bin_5,70,18,Growth arrest-specific protein 8,0,0.47
NIBA2_HUMAN,Q96TA1,NIBAN2,Protein Niban 2 ,2,15,7,24,bin_5,12,13,Neuronal vesicle trafficking-associated protein 2,0,4.32
GEPH_HUMAN,Q9NQX3,GPHN,Molybdopterin molybdenumtransferase,7,7,10,24,bin_5,62,752,Gephyrin,0,0.87
NLRC3_HUMAN,Q7RTR2,NLRC3,NLR family CARD domain-containing protein 3,2,17,5,24,bin_5,154,1005,"NACHT, leucine-rich repeat protein 3",0,0.36
NSD2_HUMAN,Q6IS00,NSD2,Histone-lysine N-methyltransferase NSD2,8,11,5,24,bin_5,362,242,N-terminally myristoylated NSD2 protein,0,1.64
HABP4_HUMAN,Q5JVS0,HABP4,Intracellular hyaluronan-binding protein 4 ,4,8,12,24,bin_5,21,306,Hyaluronan-binding protein 4,0,0.8
PCD16_HUMAN,Q96JQ0,DCHS1,Protocadherin-16,3,18,3,24,bin_5,61,0,"Collagen, type XX, alpha 1 chain",0,4.91
ANFB_HUMAN,P16860,NPPB,BNP(5-29),4,17,4,25,bin_5,1490,8,Natriuretic peptide B precursor,0,2.51
AAAT_HUMAN,Q9BWQ3,SLC1A5,Neutral amino acid transporter B(0),11,9,5,25,bin_5,614,215,Sodium- and potassium-coupled glutamate transporter EAAT4,0,3.54
REQU_HUMAN,Q92785,DPF2,Zinc finger protein ubi-d4,4,13,8,25,bin_5,59,5,Zinc finger protein ubi-d4 E3 ubiquitin-protein ligase DPF2,0,3.0
ATIF1_HUMAN,Q9UII2,ATP5IF1,"ATPase inhibitor, mitochondrial ",8,14,3,25,bin_5,18,3914,ATP synthase lipid-binding protein,0,2.46
VGF_HUMAN,O15240,VGF,Antimicrobial peptide VGF[554-577],3,14,8,25,bin_5,723,2,Neurosecretory protein VGF,0,0.5
ATP7B_HUMAN,P35670,ATP7B,WND/140 kDa ,6,12,7,25,bin_5,1608,1,Copper-transporting ATPase 2,0,0.85
RL40_HUMAN,Q8WYN8,UBA52,Large ribosomal subunit protein eL40 ,3,4,18,25,bin_5,133,3,Ubiquitin-60S ribosomal protein L40,0,0.89
RL13A_HUMAN,P40429,RPL13A,Large ribosomal subunit protein uL13 ,3,9,13,25,bin_5,244,3,60S ribosomal protein L13a,0,0.39
CARL1_HUMAN,Q5VZK9,CARMIL1,F-actin-uncapping protein LRRC16A ,1,15,9,25,bin_5,62,1,CARMIL-1 protein,0,0.64
CLM8_HUMAN,Q9UGN4,CD300A,CMRF35-like molecule 8,3,17,5,25,bin_5,137,4,CMRF35-like molecule 8,1,0.63
AICDA_HUMAN,Q9GZX7,AICDA,Single-stranded DNA cytosine deaminase,6,14,5,25,bin_5,1367,214,Activation-induced deoxycytidyltransferase AICDA,0,0.77
CPSF5_HUMAN,O43809,NUDT21,Cleavage and polyadenylation specificity factor subunit 5 ,7,10,9,26,bin_5,85,25,NAD(P)H dehydrogenase [NAD(P)H:quínine oxidoreductase] subunit A,0,2.64
CHP3_HUMAN,Q96BS2,TESC,Calcineurin B homologous protein 3,5,13,8,26,bin_5,87,221,Testican-1,0,1.81
RNC_HUMAN,Q9NRR4,DROSHA,Ribonuclease 3,9,10,7,26,bin_5,1286,19726,"Drosha, RNase III double-stranded RNA-specific endoribonuclease",0,0.71
TAZ_HUMAN,Q86XQ8,TAFAZZIN,Tafazzin ,3,19,4,26,bin_5,775,775,Tafazzin,1,1.26
JARD2_HUMAN,Q92833,JARID2,Protein Jumonji,5,15,6,26,bin_5,290,2718,N-terminally processed protein JARID2,0,0.26
ACHA_HUMAN,P02708,CHRNA1,Acetylcholine receptor subunit alpha ,4,14,8,26,bin_5,141,4155,Neuronal acetylcholine receptor subunit alpha-1,0,0.63
HNRPQ_HUMAN,Q96LC2,SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q,2,12,12,26,bin_5,119,95,Heterogeneous nuclear ribonucleoprotein C,0,0.81
SETMR_HUMAN,Q53H47,SETMAR,Transposon Hsmar1 transposase ,11,12,3,26,bin_5,65,18,Translocase Slx4-dependent complex subunit SLX4-C,0,2.79
CBPC1_HUMAN,Q9NVK1,AGTPBP1,Cytosolic carboxypeptidase 1 ,3,16,7,26,bin_5,75,187,Actin-binding protein 1,0,0.64
GIPLADAVER,Q15311,RALBP1,RalA-binding protein 1 ,8,12,7,27,bin_5,436,16,RalA-binding protein 1,1,0.49
RS27A_HUMAN,Q9UPK7,RPS27A,Small ribosomal subunit protein eS31 ,5,4,18,27,bin_5,132,3,40S ribosomal protein S27a,0,3.84
SMBP2_HUMAN,P38935,IGHMBP2,DNA-binding protein SMUBP-2,17,2,8,27,bin_5,170,8,"High mobility group protein, N-terminally processed",0,0.5
COLI_HUMAN,P01189,POMC,Met-enkephalin,6,16,5,27,bin_5,67007,6943,Prolactin-releasing peptide precursor,0,1.12
PAG15_HUMAN,Q8NCC3,PLA2G15,Lysosomal phospholipase A and acyltransferase,10,10,7,27,bin_5,29,32,Phospholipase A2 group XV,0,1.56
BIRC1_HUMAN,Q13075,NAIP,Baculoviral IAP repeat-containing protein 1,6,17,4,27,bin_5,643,345,Baculoviral IAP repeat-containing protein 1,1,0.39
CAMP_HUMAN,P49913,CAMP,Antibacterial peptide FF-33 ,1,19,7,27,bin_5,106725,2,Adenylate cyclase type 1,0,0.39
TEN1_HUMAN,Q9UKZ4,TENM1,Teneurin C-terminal-associated peptide,4,12,11,27,bin_5,30,30,Teneurin-1,0,0.61
CMGA_HUMAN,P10645,CHGA,p-Glu serpinin precursor,0,21,7,28,bin_5,840,0,Chromogranin A,0,2.46
HBB_HUMAN,Q6FI08,HBB,Spinorphin,7,11,10,28,bin_5,2428,24,Hemoglobin subunit beta,0,0.71
RIPR2_HUMAN,Q9Y4F9,RIPOR2,Rho family-interacting cell polarization regulator 2,1,21,6,28,bin_5,36,2,Rab-interacting protein RhoA GTPase-activating protein 2,0,2.79
SEPT7_HUMAN,Q16181,SEPTIN7,Septin-7,6,7,15,28,bin_5,120,81,Septin-7,1,1.13
S10AC_HUMAN,P80511,S100A12,Calcitermin,6,15,7,28,bin_5,991,7,Protein S100A12,0,0.27
WHRN_HUMAN,Q9H9F4,WHRN,Whirlin ,1,12,15,28,bin_5,91,82,Whirlin,1,0.6
TEAD2_HUMAN,Q15562,TEAD2,Transcriptional enhancer factor TEF-4,6,16,7,29,bin_5,136,5,Transcriptional activator TEA domain-containing protein 2,0,1.2
ARBK1_HUMAN,P25098,GRK2,Beta-adrenergic receptor kinase 1,7,15,7,29,bin_5,1525,1238,Beta-adrenergic receptor kinase 1,1,1.99
PLOD3_HUMAN,O60568,PLOD3,Procollagen glycosyltransferase,7,13,9,29,bin_5,108,151,"Lysyl hydroxylase 3, fibroblast",0,2.41
TIGAR_HUMAN,Q9NQ88,TIGAR,"Fructose-2,6-bisphosphatase TIGAR ",1,24,4,29,bin_5,323,28,"5'-nucleotidase, TIGAR",0,0.52
RORG_HUMAN,P51449,RORC,Nuclear receptor ROR-gamma,9,16,4,29,bin_5,1373,1943,Receptor tyrosine-kinase-like orphan receptor C,0,1.88
TESK1_HUMAN,Q15569,TESK1,Dual specificity testis-specific protein kinase 1,8,14,7,29,bin_5,43,2,Serine/threonine-protein kinase TESK1,0,3.19
RRAGA_HUMAN,Q7L523,RRAGA,Ras-related GTP-binding protein A ,7,14,8,29,bin_5,76,63485,Regulator of rapamycin complex 1 subunit RAGA,0,4.02
MYH10_HUMAN,Q6PK16,MYH10,Myosin-10,8,7,14,29,bin_5,170,69,Unconventional myosin-IIC,0,1.58
PRRX1_HUMAN,P54821,PRRX1,Paired mesoderm homeobox protein 1,7,18,4,29,bin_5,486,130,Protein PRRX1,0,1.53
SULF1_HUMAN,Q8IWU6,SULF1,Extracellular sulfatase Sulf-2 secreted form ,4,22,7,33,bin_5,323,4,Sulfatase-1,0,1.11
HUNIN_HUMAN,Q8IVG9,MT-RNR2,Humanin ,4,17,8,29,bin_5,46,482,Mitochondrial RNA-processing protein 2,0,0.7
S4A10_HUMAN,Q6U841,SLC4A10,Sodium-driven chloride bicarbonate exchanger ,3,13,14,30,bin_5,62,958,Sodium/bicarbonate cotransporter 10,0,0.58
PALS1_HUMAN,Q8N3R9,PALS1,Protein PALS1 ,3,12,15,30,bin_5,146,140,"Protein PALS1-associated protein, MAGI-2 subfamily member 1",0,1.82
HINFP_HUMAN,Q9BQA5,HINFP,Histone H4 transcription factor,12,15,3,30,bin_5,59,17275,"Histone-arginine N-methyltransferase, H4-specific",0,6.25
MYO1G_HUMAN,B0I1T2,MYO1G,Minor histocompatibility antigen HA-2 ,7,11,12,30,bin_5,55,48,Unconventional myosin-Ig,0,1.15
H33_HUMAN,P84243,H3-3B,Histone H3.3,5,17,9,31,bin_5,40,62758,Histone H3.3-B,0,0.9
PGBM_HUMAN,CESCAPGYEG,HSPG2,LG3 peptide,5,16,10,31,bin_5,308,48,Perlecan,0,1.52
ERBIN_HUMAN,Q9NW48,ERBIN,Erbin ,3,15,13,31,bin_5,271,271,Erbin,1,0.57
NECT1_HUMAN,Q15223,NECTIN1,Nectin-1,8,14,10,32,bin_5,408,899,Poliovirus receptor-related protein 1,0,0.66
AT8A2_HUMAN,AAKHTCKKTL,ATP8A2,Phospholipid-transporting ATPase IB ,7,18,7,32,bin_5,82,0,Sodium/potassium-transporting ATPase subunit alpha-2,0,2.03
RS19_HUMAN,P39019,RPS19,Small ribosomal subunit protein eS19 ,5,15,12,32,bin_5,473,1,40S ribosomal protein S19,0,1.82
ACK1_HUMAN,Q07912,TNK2,Activated CDC42 kinase 1,12,6,14,32,bin_5,181,1623,Tyrosine-protein kinase TNK2,0,1.11
ATPB_HUMAN,P06576,ATP5F1B,"ATP synthase subunit beta, mitochondrial ",6,12,14,32,bin_5,108,816,"ATP synthase protein 1, N-terminally processed",0,5.11
SHIP1_HUMAN,Q92835,INPP5D,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",7,21,4,32,bin_5,394,27,Phosphatidylinositide phosphatase SAC2,0,1.26
NOP53_HUMAN,Q9NZM5,NOP53,Ribosome biogenesis protein NOP53 ,4,23,5,32,bin_5,71,13,N-ethylmaleimide-sensitive factor-associated protein 1,0,0.5
RHG07_HUMAN,HDRAPVVGVR,DLC1,Rho GTPase-activating protein 7,3,20,10,33,bin_5,457,122,Dynein axonemal light chain 1,0,1.29
SEPT2_HUMAN,Q15019,SEPTIN2,Septin-2,5,7,21,33,bin_5,96,85,Septin-2,1,0.9
PPAP_HUMAN,P15309,ACP3,PAPf39,11,9,13,33,bin_5,39,4,Striated muscle C2 calcium-dependent domain-containing protein 1,0,0.67
NSG1_HUMAN,P42857,NSG1,Neuronal vesicle trafficking-associated protein 1 ,2,13,19,34,bin_5,49,2,Neuronal vesicle trafficking-associated protein 1,1,1.83
SEPT4_HUMAN,Q9H315,SEPTIN4,Septin-4 ,6,12,16,34,bin_5,93,35,Septin-4,1,1.08
FANCJ_HUMAN,Q9BX63,BRIP1,Fanconi anemia group J protein ,9,19,6,34,bin_5,618,0,DNA repair protein BRCA1 interactor 1,0,0.55
H2AX_HUMAN,P16104,H2AX,Histone H2AX,8,15,11,34,bin_5,7584,4883,Histone H2AX,1,0.32
RED1_HUMAN,O00691,ADARB1,Double-stranded RNA-specific editase 1 ,7,21,6,34,bin_5,672,3,Double-strand RNA-specific adenosine deaminase 1,0,1.46
FAS_HUMAN,P49327,FASN,Acyl-[acyl-carrier-protein] hydrolase,15,12,8,35,bin_5,3109,10976,Fatty acid synthase,0,0.47
SELS_HUMAN,Q9BQE4,SELENOS,Selenoprotein S ,5,22,8,35,bin_5,1796,16838,Selenoprotein S,1,0.99
FTM_HUMAN,Q68CZ1,RPGRIP1L,Protein fantom,1,20,14,35,bin_5,147,120,Rab-interacting protein 1-like,0,0.93
MYH6_HUMAN,P13533,MYH6,Myosin-6,6,20,10,36,bin_5,615,34,"Myosin heavy chain 6, cardiac muscle, alpha",0,0.76
OGG1_HUMAN,Q9UIK0,OGG1,DNA-(apurinic or apyrimidinic site) lyase,9,20,7,36,bin_5,1810,2677,8-oxoguanine DNA glycosylase 1,0,1.56
AGRB1_HUMAN,O14514,ADGRB1,Vasculostatin-120 ,4,22,10,36,bin_5,97,1,Adhesion G protein-coupled receptor B1,0,2.39
FYV1_HUMAN,Q9Y2I7,PIKFYVE,1-phosphatidylinositol 3-phosphate 5-kinase ,8,17,11,36,bin_5,364,18,Phosphatidylinositol 3-kinase-related kinase FYVE domain-containing protein 1,0,1.73
HEYL_HUMAN,Q9NQ87,HEYL,Hairy/enhancer-of-split related with YRPW motif-like protein,7,25,4,36,bin_5,661,3,Helix-loop-helix protein 2,0,1.0
ANLRRSHILE,Q6ZNE5,ATG14,Beclin 1-associated autophagy-related key regulator ,4,20,12,36,bin_5,386,9,AP5-15 complex subunit 2,0,0.42
AJUBA_HUMAN,Q96IF1,AJUBA,LIM domain-containing protein ajuba,6,18,12,36,bin_5,182,17,Amped protein junctional,0,1.92
CASL_HUMAN,Q14511,NEDD9,Enhancer of filamentation 1 p55,1,21,15,37,bin_5,383,0,NEDD9 protein,0,2.91
CO2A1_HUMAN,Q9UE38,COL2A1,Chondrocalcin ,6,25,6,37,bin_5,2699,74,Type II collagen alpha-1 chain,0,1.15
