ID,AC,gene_symbol,protein_name,GO_F Count,GO_P Count,GO_C Count,all_go_counts,bin,normalized_protein,normalized_gene_name,MATCH,PMC_ID,Rank,PMC_PROTEIN,HGNC_symbol,gene_id,gene_name,Bin2,predicted_gene_name,pmatch
CD24_HUMAN,P25063,CD24,Signal transducer CD24,2,26,5,33,bin_5,CD24,CD24,1,26698,228,3476,CD24,HGNC:1645,CD24 molecule,2,cytochrome P450 family 2 subfamily C member 9,0
TGFB1_HUMAN,P01137,TGFB1,Transforming growth factor beta-1 ,11,175,12,198,bin_5,Transforming growth factor beta-1,TGFB1,1,21201,297,126659,TGFB1,HGNC:11766,transforming growth factor beta 1,2,ret proto-oncogene,0
CP2C9_HUMAN,P11712,CYP2C9,Cytochrome P450 2C9 ,14,14,4,32,bin_5,Cytochrome P450 2C9,CYP2C9,1,16050,384,6644,CYP2C9,HGNC:2623,cytochrome P450 family 2 subfamily C member 9,2,epidermal growth factor receptor,0
CTCF_HUMAN,P49711,CTCF,Transcriptional repressor CTCF,10,13,6,29,bin_5,Transcriptional repressor CTCF,CTCF,1,23004,275,6343,CTCF,HGNC:13723,CCCTC-binding factor,2,prostaglandin-endoperoxide synthase 2,0
CDK5_HUMAN,Q00535,CDK5,Cyclin-dependent kinase 5 ,13,60,20,93,bin_5,Cyclin-dependent kinase 5,CDK5,1,18621,340,8456,CDK5,HGNC:1774,cyclin dependent kinase 5,2,cytochrome b-245 beta chain,0
LIPL_HUMAN,P06858,LPL,Lipoprotein lipase,14,27,7,48,bin_5,Lipoprotein lipase,LPL,1,23512,266,44995,LPL,HGNC:6677,lipoprotein lipase,2,interleukin 6,0
SECR_HUMAN,P09683,SCT,Secretin ,4,14,2,20,bin_5,Secretin,SCT,1,29173,208,12229,SCT,HGNC:10607,secretin,2,prostaglandin-endoperoxide synthase 2,0
IL2_HUMAN,P60568,IL2,Interleukin-2,7,38,2,47,bin_5,Interleukin-2,IL2,1,27998,217,101246,IL2,HGNC:6001,interleukin 2,2,interleukin 6,0
DUOX2_HUMAN,Q9NRD8,DUOX2,Dual oxidase 2,7,13,10,30,bin_5,Dual oxidase 2,DUOX2,1,18666,339,17335,DUOX2,HGNC:13273,dual oxidase 2,2,ret proto-oncogene,0
IL15_HUMAN,P40933,IL15,Interleukin-15,2,29,8,39,bin_5,Interleukin-15,IL15,1,18825,336,13370,IL15,HGNC:5977,interleukin 15,2,interleukin 6,0
SMAD7_HUMAN,O15105,SMAD7,Mothers against decapentaplegic homolog 7,10,39,10,59,bin_5,Mothers against decapentaplegic homolog 7,SMAD7,1,17695,355,65918,SMAD7,HGNC:6773,SMAD family member 7,2,mitogen-activated protein kinase 1,0
MECP2_HUMAN,P51608,MECP2,Methyl-CpG-binding protein 2,19,77,7,103,bin_5,Methyl-CpG-binding protein 2,MECP2,1,18747,337,6574,MECP2,HGNC:6990,methyl-CpG binding protein 2,2,mitogen-activated protein kinase 1,0
TSC2_HUMAN,Q8TAZ1,TSC2,Tuberin ,5,24,10,39,bin_5,Tuberin,TSC2,1,22268,284,5090,TSC2,HGNC:12363,TSC complex subunit 2,2,ret proto-oncogene,0
CBL_HUMAN,P22681,CBL,E3 ubiquitin-protein ligase CBL,9,27,9,45,bin_5,E3 ubiquitin-protein ligase CBL,CBL,1,26924,223,6250,CBL,HGNC:1541,Cbl proto-oncogene,2,cytochrome b-245 beta chain,0
FINC_HUMAN,Q96KP8,FN1,Ugl-Y3,9,28,13,50,bin_5,Ugl-Y3,no appropriate match,0,17573,358,6,FN1,HGNC:3778,fibronectin 1,2,fibroblast growth factor receptor 2,0
FUS_HUMAN,P35637,FUS,RNA-binding protein FUS,9,8,4,21,bin_5,RNA-binding protein FUS,FUS,1,23482,267,13970,FUS,HGNC:4010,FUS RNA binding protein,2,fibroblast growth factor receptor 1,0
MTAP2_HUMAN,P11137,MAP2,Microtubule-associated protein 2,5,13,20,38,bin_5,Microtubule-associated protein 2,MAP2,1,22734,277,79630,MAP2,HGNC:6839,microtubule associated protein 2,2,mitogen-activated protein kinase 1,0
CDK6_HUMAN,Q00534,CDK6,Cyclin-dependent kinase 6,5,34,10,49,bin_5,Cyclin-dependent kinase 6,CDK6,1,25280,244,4076,CDK6,HGNC:1777,cyclin dependent kinase 6,2,cytochrome P450 family 2 subfamily C member 19,0
L1CAM_HUMAN,P32004,L1CAM,Neural cell adhesion molecule L1,2,11,8,21,bin_5,Neural cell adhesion molecule L1,L1CAM,1,17160,362,13084,L1CAM,HGNC:6470,L1 cell adhesion molecule,2,kinesin family member 5B,0
FGFR3_HUMAN,P22607,FGFR3,Fibroblast growth factor receptor 3,5,20,7,32,bin_5,Fibroblast growth factor receptor 3,FGFR3,1,16783,366,4969,FGFR3,HGNC:3690,fibroblast growth factor receptor 3,2,epidermal growth factor receptor,0
LEG3_HUMAN,P17931,LGALS3,Galectin-3,9,23,16,48,bin_5,Galectin-3,LGALS3,1,23468,268,21228,LGALS3,HGNC:6563,galectin 3,2,kinesin family member 5B,0
JUNB_HUMAN,P17275,JUNB,Transcription factor JunB ,5,17,6,28,bin_5,Transcription factor JunB,JUNB,1,13256,462,12137,JUNB,HGNC:6205,"JunB proto-oncogene, AP-1 transcription factor subunit",3,interleukin 6,0
ATRX_HUMAN,Q9H0Z1,ATRX,Transcriptional regulator ATRX,11,23,10,44,bin_5,Transcriptional regulator ATRX,ATRX,1,11370,523,3935,ATRX,HGNC:886,ATRX chromatin remodeler,3,cyclin dependent kinase inhibitor 1A,0
BMAL1_HUMAN,O00316,BMAL1,Basic helix-loop-helix ARNT-like protein 1 ,12,26,8,46,bin_5,Basic helix-loop-helix ARNT-like protein 1,BHLHE40,0,12125,493,704,BMAL1,HGNC:701,basic helix-loop-helix ARNT like 1,3,albumin,0
NOS3_HUMAN,Q548C1,NOS3,Nitric oxide synthase 3 ,11,47,9,67,bin_5,Nitric oxide synthase 3,NOS3,1,10454,567,204524,NOS3,HGNC:7876,nitric oxide synthase 3,3,mitogen-activated protein kinase 1,0
STAT2_HUMAN,P52630,STAT2,Signal transducer and activator of transcription 2,5,11,8,24,bin_5,Signal transducer and activator of transcription 2,STAT2,1,13544,453,11774,STAT2,HGNC:11363,signal transducer and activator of transcription 2,3,prostaglandin-endoperoxide synthase 2,0
TS101_HUMAN,Q99816,TSG101,Tumor susceptibility gene 101 protein,8,27,14,49,bin_5,Tumor susceptibility gene 101 protein,TSG101,1,12733,472,2931,TSG101,HGNC:15971,tumor susceptibility 101,3,serine palmitoyltransferase long chain base subunit 1,0
CO3A1_HUMAN,V9GZI1,COL3A1,Collagen alpha-1(III) chain,7,35,4,46,bin_5,Collagen alpha-1(III) chain,COL3A1,1,12406,479,11045,COL3A1,HGNC:2201,collagen type III alpha 1 chain,3,epidermal growth factor receptor,0
TNFB_HUMAN,P01374,LTA,Lymphotoxin-alpha,3,16,2,21,bin_5,Lymphotoxin-alpha,LTA,1,15107,409,13923,LTA,HGNC:6709,lymphotoxin alpha,3,mitogen-activated protein kinase 1,0
ACTA_HUMAN,P62736,ACTA2,"Actin, aortic smooth muscle, intermediate form",3,12,12,27,bin_5,"Actin, aortic smooth muscle, intermediate form",ACTA2,1,13553,452,5721,ACTA2,HGNC:130,"actin alpha 2, smooth muscle",3,adenosine deaminase,0
RAD50_HUMAN,Q92878,RAD50,DNA repair protein RAD50,10,22,9,41,bin_5,DNA repair protein RAD50,RAD50,1,14417,426,12724,RAD50,HGNC:9816,RAD50 double strand break repair protein,3,prostaglandin-endoperoxide synthase 2,0
GATA2_HUMAN,P23769,GATA2,Endothelial transcription factor GATA-2,11,54,4,69,bin_5,Endothelial transcription factor GATA-2,GATA2,1,12001,495,4226,GATA2,HGNC:4171,GATA binding protein 2,3,fibroblast growth factor receptor 1,0
TRAF3_HUMAN,Q13114,TRAF3,TNF receptor-associated factor 3 ,9,18,9,36,bin_5,TNF receptor-associated factor 3,TRAF3,1,10217,582,1532,TRAF3,HGNC:12033,TNF receptor associated factor 3,3,prostaglandin-endoperoxide synthase 2,0
ARI1A_HUMAN,Q9HBJ5,ARID1A,AT-rich interactive domain-containing protein 1A,3,18,8,29,bin_5,AT-rich interactive domain-containing protein 1A,ARID1A,1,12676,473,809,ARID1A,HGNC:11110,AT-rich interaction domain 1A,3,ret proto-oncogene,0
TRPV4_HUMAN,Q96Q92,TRPV4,Transient receptor potential cation channel subfamily V member 4,17,44,14,75,bin_5,Transient receptor potential cation channel subfamily V member 4,TRPV4,1,11078,538,8854,TRPV4,HGNC:18083,transient receptor potential cation channel subfamily V member 4,3,serine/threonine kinase 11,0
TREM2_HUMAN,Q9NZC2,TREM2,Triggering receptor expressed on myeloid cells 2,22,103,5,130,bin_5,Triggering receptor expressed on myeloid cells 2,TREM2,1,13202,464,64530,TREM2,HGNC:17761,triggering receptor expressed on myeloid cells 2,3,serine palmitoyltransferase long chain base subunit 1,0
LEP_HUMAN,P41159,LEP,Leptin ,4,96,3,103,bin_5,Leptin,LEP,1,15311,406,126170,LEP,HGNC:6553,leptin,3,lysosomal associated membrane protein 1,0
CP2E1_HUMAN,P05181,CYP2E1,Cytochrome P450 2E1 ,14,12,4,30,bin_5,Cytochrome P450 2E1,CYP2E1,1,14891,415,10030,CYP2E1,HGNC:2631,cytochrome P450 family 2 subfamily E member 1,3,epidermal growth factor receptor,0
MUSK_HUMAN,O15146,MUSK,"Muscle, skeletal receptor tyrosine-protein kinase",5,12,4,21,bin_5,"Muscle, skeletal receptor tyrosine-protein kinase",MUSK,1,11081,537,48362,MUSK,HGNC:7525,muscle associated receptor tyrosine kinase,3,phospholamban,0
ID3_HUMAN,Q02535,ID3,DNA-binding protein inhibitor ID-3,5,20,3,28,bin_5,DNA-binding protein inhibitor ID-3,ID3,1,11135,534,520,ID3,HGNC:5362,inhibitor of DNA binding 3,3,interleukin 2,0
HG2A_HUMAN,Q8WLP6,CD74,Class-II-associated invariant chain peptide ,11,49,24,84,bin_5,Class-II-associated invariant chain peptide,CD74,1,10750,553,4751,CD74,HGNC:1697,CD74 molecule,3,cyclin dependent kinase 4,0
TSLP_HUMAN,Q969D9,TSLP,Thymic stromal lymphopoietin,2,19,2,23,bin_5,Thymic stromal lymphopoietin,TSLP,1,11092,535,10303,TSLP,HGNC:30743,thymic stromal lymphopoietin,3,serine/threonine kinase 40,0
APOA1_HUMAN,P02647,APOA1,Truncated apolipoprotein A-I,15,48,19,82,bin_5,Truncated apolipoprotein A-I,APOA1,1,12321,482,1668,APOA1,HGNC:600,apolipoprotein A1,3,albumin,0
MAVS_HUMAN,Q86VY7,MAVS,Mitochondrial antiviral-signaling protein ,7,31,5,43,bin_5,Mitochondrial antiviral-signaling protein,MAVS,1,14523,421,8287,MAVS,HGNC:29233,mitochondrial antiviral signaling protein,3,"serine peptidase inhibitor, Kazal type 5",0
NOX1_HUMAN,Q9Y5S8,NOX1,NADPH oxidase 1,5,22,5,32,bin_5,NADPH oxidase 1,NOX1,1,10732,556,3519,NOX1,HGNC:7889,NADPH oxidase 1,3,prostaglandin-endoperoxide synthase 2,0
HLAC_HUMAN,Q9TPX2,HLA-C,"HLA class I histocompatibility antigen, C alpha chain",3,6,16,25,bin_5,"HLA class I histocompatibility antigen, C alpha chain",HLA-C,1,13197,465,3647,HLA-C,HGNC:4933,"major histocompatibility complex, class I, C",3,interleukin 6,0
HPRT_HUMAN,P00492,HPRT1,Hypoxanthine-guanine phosphoribosyltransferase,5,24,3,32,bin_5,Hypoxanthine-guanine phosphoribosyltransferase,HPRT1,1,12606,475,13465,HPRT1,HGNC:5157,hypoxanthine phosphoribosyltransferase 1,3,interleukin 6,0
JAK3_HUMAN,P52333,JAK3,Tyrosine-protein kinase JAK3 ,5,31,6,42,bin_5,Tyrosine-protein kinase JAK3,JAK3,1,13781,442,7809,JAK3,HGNC:6193,Janus kinase 3,3,interleukin 6,0
OPTN_HUMAN,Q8N562,OPTN,Optineurin,5,16,10,31,bin_5,Optineurin,OPTN,1,10687,560,5132,OPTN,HGNC:17142,optineurin,3,prostaglandin-endoperoxide synthase 2,0
BMP7_HUMAN,P18075,BMP7,Bone morphogenetic protein 7,4,72,4,80,bin_5,Bone morphogenetic protein 7,BMP7,1,10555,564,6354,BMP7,HGNC:1074,bone morphogenetic protein 7,3,CDK1,0
TLR8_HUMAN,Q9NR97,TLR8,Toll-like receptor 8 ,7,19,6,32,bin_5,Toll-like receptor 8,TLR8,1,13030,466,2782,TLR8,HGNC:15632,toll like receptor 8,3,ret proto-oncogene,0
MMP7_HUMAN,P09237,MMP7,Matrilysin,5,13,4,22,bin_5,Matrilysin,MMP7,1,8741,660,8867,MMP7,HGNC:7174,matrix metallopeptidase 7,4,MKI67,0
MEN1_HUMAN,Q9BUF0,MEN1,Menin,8,21,14,43,bin_5,Menin,MEN1,1,7863,721,5831,MEN1,HGNC:7010,menin 1,4,mitogen-activated protein kinase 1,0
CPT1A_HUMAN,P50416,CPT1A,"Carnitine O-palmitoyltransferase 1, liver isoform",4,24,2,30,bin_5,"Carnitine O-palmitoyltransferase 1, liver isoform",CPT1A,1,8281,691,504,CPT1A,HGNC:2328,carnitine palmitoyltransferase 1A,4,cytochrome P450 family 2 subfamily D member 6,0
SFRP1_HUMAN,Q8N474,SFRP1,Secreted frizzled-related protein 1,5,84,7,96,bin_5,Secreted frizzled-related protein 1,SFRP1,1,7171,765,2820,SFRP1,HGNC:10776,secreted frizzled related protein 1,4,ret proto-oncogene,0
P85A_HUMAN,P27986,PIK3R1,Phosphatidylinositol 3-kinase regulatory subunit alpha,18,40,11,69,bin_5,Phosphatidylinositol 3-kinase regulatory subunit alpha,PIK3R1,1,8920,651,35113,PIK3R1,HGNC:8979,phosphoinositide-3-kinase regulatory subunit 1,4,prostaglandin-endoperoxide synthase 2,0
A16L1_HUMAN,Q9H619,ATG16L1,Autophagy-related protein 16-1 ,4,12,9,25,bin_5,Autophagy-related protein 16-1,ATG16L1,1,8567,670,3997,ATG16L1,HGNC:21498,autophagy related 16 like 1,4,prostaglandin-endoperoxide synthase 2,0
TOP2A_HUMAN,P11388,TOP2A,DNA topoisomerase 2-alpha,12,16,10,38,bin_5,DNA topoisomerase 2-alpha,TOP2A,1,8504,677,960,TOP2A,HGNC:11989,DNA topoisomerase II alpha,4,prostaglandin-endoperoxide synthase 2,0
HXK1_HUMAN,P19367,HK1,Hexokinase-1 ,8,14,4,26,bin_5,Hexokinase-1,HK1,1,9683,607,3333,HK1,HGNC:4922,hexokinase 1,4,interleukin 6,0
IKKB_HUMAN,GSPDSMNASR,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta,11,29,7,47,bin_5,Inhibitor of nuclear factor kappa-B kinase subunit beta,IKBKB,1,8922,650,4891,IKBKB,HGNC:5960,inhibitor of nuclear factor kappa B kinase subunit beta,4,kinesin family member 5B,0
BAP1_HUMAN,Q92560,BAP1,Ubiquitin carboxyl-terminal hydrolase BAP1 ,5,28,5,38,bin_5,Ubiquitin carboxyl-terminal hydrolase BAP1,BAP1,1,9408,624,757,BAP1,HGNC:950,BRCA1 associated deubiquitinase 1,4,catenin beta 1,0
PAX2_HUMAN,Q02962,PAX2,Paired box protein Pax-2,8,58,7,73,bin_5,Paired box protein Pax-2,PAX2,1,8263,693,6416,PAX2,HGNC:8616,paired box 2,4,mitogen-activated protein kinase 1,0
SC6A4_HUMAN,P31645,SLC6A4,Sodium-dependent serotonin transporter,13,31,10,54,bin_5,Sodium-dependent serotonin transporter,SLC6A4,1,6922,780,31549,SLC6A4,HGNC:11050,solute carrier family 6 member 4,4,prostaglandin-endoperoxide synthase 2,0
DAF_HUMAN,Q14UF4,CD55,Complement decay-accelerating factor,2,11,11,24,bin_5,Complement decay-accelerating factor,CD55,1,8555,671,8567,CD55,HGNC:2665,CD55 molecule (Cromer blood group),4,epidermal growth factor receptor,0
PRDM1_HUMAN,O75626,PRDM1,PR domain zinc finger protein 1,8,28,4,40,bin_5,PR domain zinc finger protein 1,PRDM1,1,7693,736,10904,PRDM1,HGNC:9346,PR/SET domain 1,4,prostaglandin-endoperoxide synthase 2,0
BTC_HUMAN,P35070,BTC,Betacellulin,4,12,4,20,bin_5,Betacellulin,BTC,1,8713,662,2399,BTC,HGNC:1121,betacellulin,4,calcium voltage-gated channel subunit alpha1 C,0
NRP1_HUMAN,O14786,NRP1,Neuropilin-1 ,10,77,15,102,bin_5,Neuropilin-1,NRP1,1,9819,604,13341,NRP1,HGNC:8004,neuropilin 1,4,mitogen-activated protein kinase 1,0
MVP_HUMAN,Q14764,MVP,Major vault protein,3,8,12,23,bin_5,Major vault protein,MVP,1,9580,613,1668,MVP,HGNC:7531,major vault protein,4,mitogen-activated protein kinase 1,0
PROX1_HUMAN,Q92786,PROX1,Prospero homeobox protein 1,10,61,5,76,bin_5,Prospero homeobox protein 1,PROX1,1,7724,735,2533,PROX1,HGNC:9459,prospero homeobox 1,4,prostaglandin-endoperoxide synthase 2,0
UD11_HUMAN,P22309,UGT1A1,UDP-glucuronosyltransferase 1A1 ,7,23,6,36,bin_5,UDP-glucuronosyltransferase 1A1,UGT1A1,1,7742,732,1619,UGT1A1,HGNC:12530,UDP glucuronosyltransferase family 1 member A1,4,ret proto-oncogene,0
MYF5_HUMAN,P13349,MYF5,Myogenic factor 5,4,15,3,22,bin_5,Myogenic factor 5,MYF5,1,7385,751,1468,MYF5,HGNC:7565,myogenic factor 5,4,mitogen-activated protein kinase 1,0
NR4A1_HUMAN,P22736,NR4A1,Nuclear receptor subfamily 4immunitygroup A member 1,11,22,8,41,bin_5,Nuclear receptor subfamily 4 group A member 1,NR4A1,1,7729,733,0,NR4A1,HGNC:7980,nuclear receptor subfamily 4 group A member 1,4,nuclear receptor subfamily 3 group C member 1,0
ANPRA_HUMAN,LTEYCPRGSL,NPR1,Atrial natriuretic peptide receptor 1 ,10,15,3,28,bin_5,Atrial natriuretic peptide receptor 1,NPR1,1,8476,680,29768,NPR1,HGNC:7943,natriuretic peptide receptor 1,4,prostaglandin-endoperoxide synthase 2,0
NRATCYTDLS,Q9NR61,DLL4,Delta-like protein 4,3,29,1,33,bin_5,Delta-like protein 4,DLL4,1,9494,619,2028,DLL4,HGNC:2910,delta like canonical Notch ligand 4,4,epidermal growth factor receptor,0
