ID,AC,GN,protein_name,GO_F Count,GO_P Count,GO_C Count,all_go_counts,bin,normalized_protein,normalized_gene_name,MATCH,PMC_ID,Rank,PMC_PROTEIN,HGNC_symbol,HGNC_id,HGNC_name,Bin,predicted_hgnc_term,term_match_result
TRPM2_HUMAN,O94759,TRPM2,Transient receptor potential cation channel subfamily M member 2,8,19,9,36,bin_5,Transient receptor potential cation channel subfamily M member 2,TRPM2,1,17338,360,10416,TRPM2,HGNC:12339,transient receptor potential cation channel subfamily M member 2,2,solute carrier family 25 member 18,0
DNM3A_HUMAN,Q9Y6K1,DNMT3A,DNA (cytosine-5)-methyltransferase 3A,11,23,9,43,bin_5,DNA (cytosine-5)-methyltransferase 3A,DNMT3A,1,28060,215,1535,DNMT3A,HGNC:2978,DNA methyltransferase 3 alpha,2,apolipoprotein E,0
SKI_HUMAN,P12755,SKI,Ski oncogene,11,31,9,51,bin_5,Ski oncogene,SKI,1,20168,310,3167,SKI,HGNC:10896,SKI proto-oncogene,2,solute carrier family 25 member 18,0
G6PD_HUMAN,P11413,G6PD,Glucose-6-phosphate 1-dehydrogenase,5,23,7,35,bin_5,Glucose-6-phosphate 1-dehydrogenase,G6PD,1,18181,349,1109,G6PD,HGNC:4057,glucose-6-phosphate dehydrogenase,2,apolipoprotein A1,0
CCR6_HUMAN,P51684,CCR6,C-C chemokine receptor type 6,4,19,7,30,bin_5,C-C chemokine receptor type 6,CCR6,1,15856,390,45595,CCR6,HGNC:1607,C-C motif chemokine receptor 6,2,apolipoprotein E,0
DYR_HUMAN,P00374,DHFR,Dihydrofolate reductase,7,11,2,20,bin_5,Dihydrofolate reductase,DHFR,1,16012,386,29615,DHFR,HGNC:2861,dihydrofolate reductase,2,apolipoprotein A1,0
VHL_HUMAN,P40337,VHL,von Hippel-Lindau disease tumor suppressor,7,22,6,35,bin_5,von Hippel-Lindau disease tumor suppressor,VHL,1,26340,234,11897,VHL,HGNC:12687,von Hippel-Lindau tumor suppressor,2,solute carrier family 25 member 18,0
BTK_HUMAN,Q06187,BTK,Tyrosine-protein kinase BTK,8,40,7,55,bin_5,Tyrosine-protein kinase BTK,BTK,1,17647,357,11516,BTK,HGNC:1133,Bruton tyrosine kinase,2,apolipoprotein E,0
FYN_HUMAN,P06241,FYN,Tyrosine-protein kinase Fyn,18,57,14,89,bin_5,Tyrosine-protein kinase Fyn,FYN,1,24111,259,16725,FYN,HGNC:4037,"FYN proto-oncogene, Src family tyrosine kinase",2,apolipoprotein E,0
DUOX1_HUMAN,Q9NRD9,DUOX1,Dual oxidase 1,8,12,6,26,bin_5,Dual oxidase 1,DUOX1,1,18357,346,17177,DUOX1,HGNC:3062,dual oxidase 1,2,apolipoprotein E,0
GPX4_HUMAN,P36969,GPX4,Phospholipid hydroperoxide glutathione peroxidase GPX4 ,4,11,5,20,bin_5,Phospholipid hydroperoxide glutathione peroxidase GPX4,GPX4,1,17310,361,4830,GPX4,HGNC:4556,glutathione peroxidase 4,2,solute carrier family 25 member 18,0
ATG7_HUMAN,O95352,ATG7,Ubiquitin-like modifier-activating enzyme ATG7 ,3,17,7,27,bin_5,Ubiquitin-like modifier-activating enzyme ATG7,ATG7,1,20097,312,1750,ATG7,HGNC:16935,autophagy related 7,2,solute carrier family 25 member 18,0
SODM_HUMAN,Q96EE6,SOD2,"Superoxide dismutase [Mn], mitochondrial",6,57,4,67,bin_5,"Superoxide dismutase [Mn], mitochondrial",SOD2,1,26540,229,101615,SOD2,HGNC:11180,superoxide dismutase 2,2,solute carrier family 25 member 18,0
MIF_HUMAN,P14174,MIF,Macrophage migration inhibitory factor ,7,34,11,52,bin_5,Macrophage migration inhibitory factor,MIF,1,23682,265,100596,MIF,HGNC:7097,macrophage migration inhibitory factor,2,solute carrier family 25 member 18,0
ABCA1_HUMAN,O95477,ABCA1,Phospholipid-transporting ATPase ABCA1 ,21,35,12,68,bin_5,Phospholipid-transporting ATPase ABCA1,ABCA1,1,19918,314,73,ABCA1,HGNC:29,ATP binding cassette subfamily A member 1,2,apolipoprotein B,0
NOS2_HUMAN,P35228,NOS2,"Nitric oxide synthase, inducible ",10,31,8,49,bin_5,"Nitric oxide synthase, inducible",NOS2,1,19808,316,109648,NOS2,HGNC:7873,nitric oxide synthase 2,2,solute carrier family 25 member 18,0
ATF4_HUMAN,P18848,ATF4,Cyclic AMP-dependent transcription factor ATF-4 ,17,45,16,78,bin_5,Cyclic AMP-dependent transcription factor ATF-4,ATF4,1,25664,241,84,ATF4,HGNC:786,activating transcription factor 4,2,apolipoprotein A-I,0
CCL3_HUMAN,P10147,CCL3,MIP-1-alpha(4-69),9,50,4,63,bin_5,CCL3,CCL3,1,27959,218,18,CCL3,HGNC:10627,C-C motif chemokine ligand 3,2,solute carrier family 25 member 18,0
PDX1_HUMAN,P52945,PDX1,Pancreas/duodenum homeobox protein 1,5,37,5,47,bin_5,Pancreas/duodenum homeobox protein 1,PDX1,1,11515,516,124,PDX1,HGNC:6107,pancreatic and duodenal homeobox 1,3,solute carrier family 25 member 18,0
TERA_HUMAN,P55072,VCP,Transitional endoplasmic reticulum ATPase,17,47,23,87,bin_5,Transitional endoplasmic reticulum ATPase,VCP,1,11404,521,1897,VCP,HGNC:12666,valosin containing protein,3,solute carrier family 25 member 18,0
ONCM_HUMAN,P13725,OSM,Oncostatin-M,3,16,2,21,bin_5,Oncostatin-M,OSM,1,12837,470,11745,OSM,HGNC:8506,oncostatin M,3,solute carrier family 22 member 5,0
CD3E_HUMAN,P07766,CD3E,T-cell surface glycoprotein CD3 epsilon chain,6,34,11,51,bin_5,T-cell surface glycoprotein CD3 epsilon chain,CD3E,1,12139,492,3945,CD3E,HGNC:1674,CD3 epsilon subunit of T-cell receptor complex,3,apolipoprotein E,0
WNT1_HUMAN,P04628,WNT1,Proto-oncogene Wnt-1,5,51,9,65,bin_5,Proto-oncogene Wnt-1,WNT1,1,14997,412,1483,WNT1,HGNC:12774,Wnt family member 1,3,solute carrier family 25 member 18,0
CEBPA_HUMAN,P49715,CEBPA,CCAAT/enhancer-binding protein alpha ,13,45,8,66,bin_5,CCAAT/enhancer-binding protein alpha,CEBPA,1,11377,522,18782,CEBPA,HGNC:1833,CCAAT enhancer binding protein alpha,3,apolipoprotein E,0
PSN1_HUMAN,P49768,PSEN1,Presenilin-1 CTF12,9,89,35,133,bin_5,Presenilin-1 CTF12,PSEN1,1,9990,590,3,PSEN1,HGNC:9508,presenilin 1,3,solute carrier family 25 member 18,0
CDD_HUMAN,P32320,CDA,Cytidine deaminase ,6,9,5,20,bin_5,Cytidine deaminase,CDA,1,15498,402,17002,CDA,HGNC:1712,cytidine deaminase,3,apolipoprotein A1,0
AIRE_HUMAN,O43918,AIRE,Autoimmune regulator,6,12,5,23,bin_5,Autoimmune regulator,AIRE,1,10431,568,109838,AIRE,HGNC:360,autoimmune regulator,3,apolipoprotein E,0
GATA1_HUMAN,P15976,GATA1,Erythroid transcription factor,16,41,6,63,bin_5,Erythroid transcription factor,GATA1,1,10353,572,66328,GATA1,HGNC:4170,GATA binding protein 1,3,solute carrier family 25 member 18,0
CSF1_HUMAN,P09603,CSF1,Macrophage colony-stimulating factor 1 43 kDa subunit ,5,41,8,54,bin_5,Macrophage colony-stimulating factor 1 43 kDa subunit,CSF1,1,11805,501,2279,CSF1,HGNC:2432,colony stimulating factor 1,3,apolipoprotein E,0
HMOX1_HUMAN,P09601,HMOX1,Heme oxygenase 1 soluble form ,7,35,9,51,bin_5,Heme oxygenase 1,HMOX1,1,11583,511,11306,HMOX1,HGNC:5013,heme oxygenase 1,3,apolipoprotein E,0
RIPK1_HUMAN,Q13546,RIPK1,Receptor-interacting serine/threonine-protein kinase 1,12,48,8,68,bin_5,Receptor-interacting serine/threonine-protein kinase 1,RIPK1,1,10711,558,3127,RIPK1,HGNC:10019,receptor interacting serine/threonine kinase 1,3,apolipoprotein E,0
MITF_HUMAN,O75030,MITF,Microphthalmia-associated transcription factor,7,20,6,33,bin_5,Microphthalmia-associated transcription factor,MITF,1,14961,413,9539,MITF,HGNC:7105,melanocyte inducing transcription factor,3,solute carrier family 25 member 18,0
ATG12_HUMAN,O94817,ATG12,Ubiquitin-like protein ATG12 ,0,10,10,20,bin_5,Ubiquitin-like protein ATG12,ATG12,1,11620,508,7091,ATG12,HGNC:588,autophagy related 12,3,apolipoprotein A-I,0
CCL19_HUMAN,Q99731,CCL19,C-C motif chemokine 19,5,43,2,50,bin_5,C-C motif chemokine 19,CCL19,1,10848,547,144,CCL19,HGNC:10617,C-C motif chemokine ligand 19,3,solute carrier family 25 member 18,0
CP19A_HUMAN,P11511,CYP19A1,Aromatase ,7,15,3,25,bin_5,Aromatase,CYP19A1,1,10028,588,47227,CYP19A1,HGNC:2594,cytochrome P450 family 19 subfamily A member 1,3,apolipoprotein E,0
FGF8_HUMAN,P55075,FGF8,Fibroblast growth factor 8,4,70,4,78,bin_5,Fibroblast growth factor 8,FGF8,1,10104,584,1954,FGF8,HGNC:3686,fibroblast growth factor 8,3,apolipoprotein E,0
MMP3_HUMAN,P08254,MMP3,Stromelysin-1,6,17,6,29,bin_5,Stromelysin-1,MMP3,1,14104,432,12121,MMP3,HGNC:7173,matrix metallopeptidase 3,3,solute carrier family 25 member 18,0
INHA_HUMAN,P05111,INHA,Inhibin alpha chain,6,18,8,32,bin_5,Inhibin alpha chain,INHA,1,10733,555,659,INHA,HGNC:6065,inhibin subunit alpha,3,solute carrier family 25 member 18,0
S100B_HUMAN,P04271,S100B,Protein S100-B,8,11,10,29,bin_5,Protein S100-B,S100B,1,13362,457,582,S100B,HGNC:10500,S100 calcium binding protein B,3,solute carrier family 25 member 18,0
PDCD4_HUMAN,Q53EL6,PDCD4,Programmed cell death protein 4,1,19,1,21,bin_5,Programmed cell death protein 4,PDCD4,1,10926,544,633971,PDCD4,HGNC:8763,programmed cell death 4,3,solute carrier family 25 member 18,0
SNAI1_HUMAN,O95863,SNAI1,Zinc finger protein SNAI1,7,24,7,38,bin_5,Zinc finger protein SNAI1,SNAI1,1,10703,559,3501,SNAI1,HGNC:11128,snail family transcriptional repressor 1,3,solute carrier family 25 member 18,0
MFN2_HUMAN,O95140,MFN2,Mitofusin-2 ,3,16,4,23,bin_5,Mitofusin-2,MFN2,1,11606,510,8675,MFN2,HGNC:16877,mitofusin 2,3,solute carrier family 25 member 18,0
NNTM_HUMAN,Q13423,NNT,"NAD(P) transhydrogenase, mitochondrial",4,12,4,20,bin_5,"NAD(P) transhydrogenase, mitochondrial",NNT,1,14395,427,1582,NNT,HGNC:7863,nicotinamide nucleotide transhydrogenase,3,solute carrier family 25 member 18,0
TLR1_HUMAN,Q15399,TLR1,Toll-like receptor 1,6,12,7,25,bin_5,Toll-like receptor 1,TLR1,1,13242,463,2817,TLR1,HGNC:11847,toll like receptor 1,3,solute carrier family 25 member 18,0
AURKA_HUMAN,O14965,AURKA,Aurora kinase A ,10,32,24,66,bin_5,Aurora kinase A,AURKA,1,11558,512,6301,AURKA,HGNC:11393,aurora kinase A,3,solute carrier family 25 member 18,0
GRN_HUMAN,Q9BWE7,GRN,Granulin-7,4,23,13,40,bin_5,Granulin-7,GRN,1,11520,514,787,GRN,HGNC:4601,granulin precursor,3,solute carrier family 25 member 18,0
NOTC2_HUMAN,Q04721,NOTCH2,Notch 2 intracellular domain,6,47,10,63,bin_5,NOTCH2,NOTCH2,1,13901,439,53349,NOTCH2,HGNC:7882,notch receptor 2,3,solute carrier family 25 member 18,0
S10A9_HUMAN,P06702,S100A9,Protein S100-A9,8,29,12,49,bin_5,Protein S100-A9,S100A9,1,14887,416,874,S100A9,HGNC:10499,S100 calcium binding protein A9,3,solute carrier family 25 member 18,0
CRY2_HUMAN,Q49AN0,CRY2,Cryptochrome-2,9,18,7,34,bin_5,Cryptochrome-2,CRY2,1,7963,714,2166,CRY2,HGNC:2385,cryptochrome circadian regulator 2,4,apolipoprotein E,0
PELO_HUMAN,Q9BRX2,PELO,Protein pelota homolog ,3,14,3,20,bin_5,protein pelota homolog,PELO,1,7875,719,266,PELO,HGNC:8829,pelota mRNA surveillance and ribosome rescue factor,4,solute carrier family 25 member 18,0
SOX17_HUMAN,Q9H6I2,SOX17,Transcription factor SOX-17,6,46,4,56,bin_5,Transcription factor SOX-17,SOX17,1,8608,668,255,SOX17,HGNC:18122,SRY-box transcription factor 17,4,solute carrier family 25 member 18,0
VFLMNFKDPK,RRTRRQDIRN,SEMA3A,Semaphorin-3A,3,25,6,34,bin_5,Semaphorin-3A,SEMA3A,1,8285,690,6243,SEMA3A,HGNC:10723,semaphorin 3A,4,solute carrier family 25 member 18,0
PTC1_HUMAN,Q86XG7,PTCH1,Protein patched homolog 1,8,55,10,73,bin_5,protein,PTCH1,1,9633,610,3256,PTCH1,HGNC:9585,patched 1,4,solute carrier family 25 member 18,0
ASXL1_HUMAN,Q8IXJ9,ASXL1,Polycomb group protein ASXL1,6,16,2,24,bin_5,Polycomb group protein ASXL1,ASXL1,1,7873,720,1169,ASXL1,HGNC:18318,ASXL transcriptional regulator 1,4,solute carrier family 25 member 18,0
MK14_HUMAN,Q16539,MAPK14,Mitogen-activated protein kinase 14 ,9,65,11,85,bin_5,Mitogen-activated protein kinase 14,MAPK14,1,6827,788,1722,MAPK14,HGNC:6876,mitogen-activated protein kinase 14,4,solute carrier family 25 member 18,0
EOMES_HUMAN,O95936,EOMES,Eomesodermin homolog,7,26,3,36,bin_5,Eomesodermin homolog,EOMES,1,9856,600,895,EOMES,HGNC:3372,eomesodermin,4,apolipoprotein E,0
LATS1_HUMAN,O95835,LATS1,Serine/threonine-protein kinase LATS1,6,23,7,36,bin_5,Serine/threonine-protein kinase LATS1,LATS1,1,7139,766,435,LATS1,HGNC:6514,large tumor suppressor kinase 1,4,solute carrier family 25 member 18,0
DSRAD_HUMAN,P55265,ADAR,Double-stranded RNA-specific adenosine deaminase,6,25,7,38,bin_5,Double-stranded RNA-specific adenosine deaminase,ADAR,1,7068,770,1224,ADAR,HGNC:225,adenosine deaminase RNA specific,4,apolipoprotein B,0
CDC6_HUMAN,Q99741,CDC6,Cell division control protein 6 homolog,4,14,8,26,bin_5,Cell division control protein 6 homolog,CDC6,1,8160,699,96994,CDC6,HGNC:1744,cell division cycle 6,4,apolipoprotein E,0
GLI3_HUMAN,P10071,GLI3,Transcriptional repressor GLI3R,11,71,13,95,bin_5,Transcriptional repressor GLI3R,GLI3,1,8038,709,519,GLI3,HGNC:4319,GLI family zinc finger 3,4,apolipoprotein E,0
TRFL_HUMAN,Q16789,LTF,Lactoferroxin-C,8,32,14,54,bin_5,Lactoferroxin-C,no appropriate match,0,7319,756,9,LTF,HGNC:6720,lactotransferrin,4,solute carrier family 25 member 18,0
STA5A_HUMAN,P42229,STAT5A,Signal transducer and activator of transcription 5A,4,21,6,31,bin_5,Signal transducer and activator of transcription 5A,STAT5A,1,9612,611,31159,STAT5A,HGNC:11366,signal transducer and activator of transcription 5A,4,solute carrier family 25 member 18,0
TSP1_HUMAN,P07996,THBS1,Thrombospondin-1,16,68,14,98,bin_5,Thrombospondin-1,THBS1,1,8057,706,19511,THBS1,HGNC:11785,thrombospondin 1,4,solute carrier family 25 member 18,0
TFE2_HUMAN,P15923,TCF3,Transcription factor E2-alpha,15,14,8,37,bin_5,Transcription factor E2-alpha,TCF3,1,7454,745,106658,TCF3,HGNC:11633,transcription factor 3,4,solute carrier family 25 member 18,0
CYLD_HUMAN,Q9NQC7,CYLD,Ubiquitin carboxyl-terminal hydrolase CYLD,7,30,8,45,bin_5,Ubiquitin carboxyl-terminal hydrolase CYLD,CYLD,1,6848,786,394,CYLD,HGNC:2584,CYLD lysine 63 deubiquitinase,4,apolipoprotein E,0
SYPH_HUMAN,P08247,SYP,Synaptophysin,3,10,10,23,bin_5,Synaptophysin,SYP,1,6919,782,34259,SYP,HGNC:11506,synaptophysin,4,solute carrier family 25 member 18,0
HFE_HUMAN,Q96KU8,HFE,Hereditary hemochromatosis protein,4,30,11,45,bin_5,Hereditary hemochromatosis protein,HFE,1,9302,630,12894,HFE,HGNC:4886,homeostatic iron regulator,4,solute carrier family 25 member 18,0
DAXX_HUMAN,Q9BWI3,DAXX,Death domain-associated protein 6,14,20,7,41,bin_5,Death domain-associated protein 6,DAXX,1,7369,753,3217,DAXX,HGNC:2681,death domain associated protein,4,apolipoprotein E,0
PAI1_HUMAN,P05121,SERPINE1,Plasminogen activator inhibitor 1,3,27,8,38,bin_5,Plasminogen activator inhibitor 1,SERPINE1,1,8865,655,27877,SERPINE1,HGNC:8583,serpin family E member 1,4,solute carrier family 25 member 18,0
GDF15_HUMAN,Q99988,GDF15,Growth/differentiation factor 15 ,4,17,6,27,bin_5,Growth/differentiation factor 15,GDF15,1,7498,742,2875,GDF15,HGNC:30142,growth differentiation factor 15,4,solute carrier family 25 member 18,0
SQRVRFTKEI,Q9UL18,AGO1,Protein argonaute-1,6,10,8,24,bin_5,protein,AGO1,1,7286,757,1973,AGO1,HGNC:3262,argonaute RISC component 1,4,solute carrier family 25 member 18,0
CETP_HUMAN,P11597,CETP,Cholesteryl ester transfer protein ,6,18,5,29,bin_5,Cholesteryl ester transfer protein,CETP,1,8045,708,24068,CETP,HGNC:1869,cholesteryl ester transfer protein,4,apolipoprotein E,0
XRCC1_HUMAN,P18887,XRCC1,DNA repair protein XRCC1 ,5,16,7,28,bin_5,DNA repair protein XRCC1,XRCC1,1,9400,625,8148,XRCC1,HGNC:12828,X-ray repair cross complementing 1,4,solute carrier family 25 member 18,0
IL1A_HUMAN,P01583,IL1A,Interleukin-1 alpha,3,43,5,51,bin_5,Interleukin-1 alpha,IL1A,1,8726,661,17729,IL1A,HGNC:5991,interleukin 1 alpha,4,solute carrier family 25 member 18,0
MRP1_HUMAN,Q9UQA0,ABCC1,Multidrug resistance-associated protein 1 ,14,22,7,43,bin_5,Multidrug resistance-associated protein 1,ABCC1,1,8021,710,3326,ABCC1,HGNC:51,ATP binding cassette subfamily C member 1 (ABCC1 blood group),4,apolipoprotein B,0
